"Species","N","allPA","allPA_se","allPA_p","SSSI","SSSI_se","SSSI_p","SAC","SAC_se","SAC_p","SPA","SPA_se","SPA_p","allPA_int","allPA_int_se","allPA_int_p","SSSI_int","SSSI_int_se","SSSI_int_p","SAC_int","SAC_int_se","SAC_int_p","SPA_int","SPA_int_se","SPA_int_p","R2_SSSI","dev_exp_SSSI","BoCC1","Specialisation","LogPChange"
"Blackbird",2242,0.072895515546824,0.0538906015530206,0.176165137968297,0.068052269073585,0.0538529022123142,0.206348682994979,-0.090675468895492,0.0813268825677829,0.264871526255612,-0.00545241757274163,0.0710169385821513,0.938801507276378,0.139160984307675,0.0744546521626702,0.0616130246156701,0.144218955965199,0.0744474717556434,0.0527220267478394,0.296634942681988,0.0953629206684,0.00186714018591756,-0.0617745535324693,0.100709067732606,0.53961443691813,0.120459547542828,0.255603363534344,"A",0.54,0.042289
"Blackcap",2537,-0.201292459270071,0.0396250240009823,3.7756839589554e-07,-0.201934009547565,0.039616757819295,3.44738365116364e-07,-0.265658251116501,0.0648646139010394,4.21111773520628e-05,-0.0823834333254157,0.0534531694879355,0.123261706472119,-0.315283707959831,0.0546407901055392,7.92168907392091e-09,-0.316585316078075,0.0546229245790715,6.7983130930946e-09,-0.208788930378489,0.0770870712516155,0.0067591816917685,0.0799539910190704,0.072721443369383,0.271569433132478,0.292553262770507,0.393237270812173,"G",0.53,0.440692
"Blue Tit",2837,-0.137035979916111,0.0446820049270028,0.00216279236055262,-0.14535456325788,0.0446281603536023,0.00112590700198747,-0.0748749441189361,0.0631490976235755,0.235746680978904,0.118735160614338,0.0584896660415044,0.0423545606652591,-0.0125422238020921,0.0570837363333965,0.826092157524026,-0.0117439418446983,0.0570650265988349,0.836947697376869,-0.228634642909257,0.0833417423483352,0.00608178839960694,-0.0398704207835434,0.0800712815116163,0.618528737183093,0.158490170748452,0.261916703219656,"G",0.41,-0.00663
"Bullfinch",1350,0.0883599306782455,0.0843866869979469,0.295060942352331,0.0905163341582262,0.0844571470102375,0.283835598090342,-0.153274915493679,0.151073835817324,0.310311054561961,0.050371947233039,0.128683743341331,0.695472129638105,-0.50342908323899,0.100561463475107,5.55199923733496e-07,-0.516425708845149,0.100612937215505,2.85468861330033e-07,-0.272832527873775,0.134788177104481,0.0429539273257715,-0.395109395555963,0.173166947957617,0.0225089788154092,0.0933389681451663,0.280811761495462,"R",0.38,0.073429
"Cetti's Warbler",272,-0.0911753228371158,0.327553300139595,0.780741678196357,-0.0838127805728786,0.326299519118478,0.797288065995667,-1.01862243567544,0.364770692889444,0.00523023453777744,0.202275246799316,0.405648762112936,0.618028594555518,-0.186783241848887,0.291943735186383,0.522307888571754,-0.192332575857372,0.290677171977068,0.508182268765852,0.91805758684289,0.429161392636308,0.0324203163136405,-0.681751619062909,0.313812481542384,0.0298194095560042,0.199026604725514,0.470751311271387,"A",2.28,1.361728
"Chaffinch",883,-0.855652810563804,0.152253460492371,1.91041958998878e-08,-0.842184591265653,0.151357285072985,2.63333966358124e-08,-0.568765531602948,0.23995241930832,0.0177723923877506,-0.462501311223592,0.166202113686559,0.00538979431591983,-0.852591993195368,0.184810494996357,3.96266405300467e-06,-0.833000042437413,0.18518989473086,6.85680151923172e-06,0.52761547390151,0.36153035944226,0.144456516511623,-1.13154858872136,0.229756570361674,8.43650867947253e-07,0.201194121425837,0.524684593849249,"G",0.35,-0.05115
"Chiffchaff",2023,-0.127831570121557,0.0536279808844042,0.0171408256859865,-0.12723859974225,0.0536280150709446,0.0176626934370088,0.468391203012675,0.107659932256115,1.35731580802596e-05,0.122334496374459,0.0774721204516273,0.114318240121746,-0.287369801350705,0.0730662439437155,8.38909766141318e-05,-0.286510583655059,0.0731007654469597,8.87724865066797e-05,-0.491192455071884,0.11841164671591,3.35133433854313e-05,-0.471317576911794,0.10418097503513,6.06738883728258e-06,0.128144412191416,0.326092091990145,"G",0.54,0.411304
"Dunnock",2461,0.157236032526035,0.0483208530011589,0.00113792471617296,0.154359928345232,0.0483066451789317,0.00139628405612515,0.0501079738427831,0.0735210687613834,0.49552621224161,0.121380640481486,0.0590292599357439,0.039755610243511,-0.00811650674417964,0.0664889176374458,0.902841144046167,-0.00753903386824273,0.0665597386329034,0.909818736658466,0.0916607736569275,0.097546475378026,0.347390660303753,-0.00549407863134499,0.0793050290487434,0.944768489383328,0.131861945811195,0.222514074419752,"A",0.44,0.070038
"Garden Warbler",910,-0.487428842980751,0.114748394060822,2.15874819808885e-05,-0.487591805468357,0.114771000802594,2.15313718957792e-05,-0.758163166320052,0.231854826978316,0.00107550957343097,0.26962174317042,0.15054417230873,0.0732963537280237,-0.324873266410741,0.115309904251405,0.00484153099325341,-0.324604706904905,0.115319643746254,0.00488036826218147,-0.126329448987326,0.181271297603675,0.485860262085937,-0.489172750346125,0.147361289364963,0.000901635725253893,0.162006677837024,0.430885801551358,"G",0.57,-0.13966
"Goldfinch",235,-0.273311057130786,0.317514141853905,0.389357081168641,-0.268269263305409,0.316899564394734,0.397249623139843,-0.911089469666124,0.481158077762436,0.0582868110573442,-0.904844033280569,0.654261708457822,0.166664823487019,0.553836574340708,0.390286499725412,0.155884053392516,0.55858978717298,0.389925270685038,0.151984762842648,0.968547133983796,0.578908996782436,0.0943162847453612,0.87465631688843,1.00534074505965,0.384295039753331,NA,0.390159504489677,"A",0.6,0.861697
"Great Tit",2368,-0.138895468583727,0.0534258607009515,0.00932836217452827,-0.141065376958279,0.05333977874225,0.00817739530274963,0.0121019579700573,0.0857820518187613,0.887808344784965,0.137965615960782,0.0729371536918972,0.058548507961367,-0.27672078061658,0.0769199601395271,0.000321270846323175,-0.27192170710188,0.0769406681932256,0.000409051735284788,-0.267703394031282,0.116147992568431,0.0211751236160124,-0.357044541572879,0.109976534387451,0.00116812091914984,0.202467397699707,0.278432339226602,"G",0.38,0.138303
"Greenfinch",356,-1.04202663633792,0.277001352041285,0.00016868773616797,-1.02971016693551,0.27705751938664,0.000201926959944222,0.40961341927381,0.491570401347781,0.404689545666643,-0.95445745475455,0.397510765332564,0.0163465031209959,0.349557547281989,0.388515024017747,0.368265427412732,0.376524002320017,0.387823620704347,0.331615993563752,3.62817646340619,0.718010299890977,4.34700537194065e-07,0.772420415962937,0.70152159102697,0.270868650592382,0.0743246482667172,0.561911544960441,"G",0.78,0.156538
"Lesser Whitethroat",363,-0.44956181216974,0.240230127285844,0.061292454075603,-0.463335264983217,0.239269182217145,0.0528113541132132,-1.1635122886448,0.398792718191582,0.00352751685971419,-0.934787221605806,0.310544494863703,0.00261113964123048,0.126745924531633,0.235980447312706,0.59119612229119,0.136260463625917,0.235837521572456,0.563417640380701,-0.492089803129737,0.39539870272046,0.213300606636221,-0.0775263600203434,0.286778125713238,0.786902017123407,0.0929425897573227,0.494436999094456,"G",0.7,-0.00546
"Reed Bunting",811,-0.148865834875324,0.140949521382616,0.290893215253627,-0.154246412754639,0.140728336015697,0.273053411111781,-0.723875583734066,0.193533510887623,0.000183792461570957,0.112036806969173,0.159691750545328,0.482940078545773,-0.212232964497962,0.129584442029336,0.101464121535176,-0.208791559570779,0.12944228906662,0.106742582157291,-0.0457301125330622,0.272341939736173,0.866650681710654,-0.320851107097503,0.139163650268792,0.0211348440403935,0.164660507898472,0.419764145925073,"R",1.28,0.064117
"Reed Warbler",1552,0.198602713297807,0.0487645821844588,4.64745422753204e-05,0.187693925558248,0.0488986043394133,0.000123822928559329,0.102173412678947,0.0589164199649421,0.0828809255889655,0.0191955118132697,0.0669904685969621,0.774463842083203,-0.361443959872455,0.0422247797666337,1.12871113528575e-17,-0.355543294904592,0.0421862883325423,3.51818456864043e-17,-0.0533238806234608,0.0578844487761642,0.356939467625098,-0.341243065618374,0.0455071463933527,6.44686874233121e-14,0.27634117070138,0.463987159349474,"G",1.53,0.335792
"Robin",2654,0.0787801265080121,0.0507396438467774,0.120510455261986,0.0816202456338371,0.0508032788780552,0.108143448302286,0.112750495232884,0.0722339835210326,0.118545810714907,-0.135176722100345,0.0651874004914559,0.0381105889352274,0.141924443812398,0.0664718112889187,0.0327522535121144,0.135551130649708,0.0664600747197928,0.0413914385908806,0.0702020700673126,0.0917906919504495,0.444387086626116,0.230352377155724,0.0981871767186705,0.0189733799099996,0.104583083623745,0.18730454958301,"G",0.39,0.199572
"Sedge Warbler",1629,-0.27250469533039,0.0531551293471638,2.95032903210665e-07,-0.278458090200429,0.0530442593834802,1.5247747895046e-07,-1.21047189102921,0.071062535032003,4.60340547615109e-65,0.260178205082156,0.0666241155012791,9.4160876235055e-05,0.148837820052776,0.0526040498601179,0.00466355893715444,0.153202408997335,0.0526344882046916,0.00360637535865308,-0.485381334489872,0.0842386372923302,8.31329029564856e-09,0.556796682227842,0.0563452547767896,4.98912552799611e-23,0.350223426938561,0.460235361572236,"G",1.46,-0.05552
"Song Thrush",714,-0.548855185418849,0.156989218841982,0.000472053386463886,-0.524724331525069,0.157554815128356,0.000867138436465261,0.266138625036583,0.254093463341613,0.294913078708946,-0.585094436036779,0.196154158390336,0.00285596922250313,0.198525767185639,0.184806297890418,0.282716463034201,0.17569055517918,0.184353021879936,0.340584229554489,0.0552036615095281,0.240449187902055,0.818413828456965,-0.0449168593742675,0.30763486765303,0.883915823308501,0.159020147202843,0.308266087270997,"R",0.36,0.083546
"Treecreeper",269,0.417680373828861,0.294004228324164,0.155415303108826,0.371289195838639,0.292657104620292,0.204554023254668,1.04853733758069,0.373148646651643,0.00495457736166801,0.311723911807714,0.302152886795082,0.302223877309583,-0.105104684046103,0.298493697069491,0.724750572632187,-0.0971457627706843,0.298878315351575,0.745154963455459,0.491575028364785,0.411769459007374,0.232551794973751,0.140823221020318,0.501000296735462,0.778645890734067,0.104723211648068,0.345015371500829,"G",0.82,0.021189
"Whitethroat",1259,-0.204662432588793,0.0684711812541156,0.0027986441479037,-0.206833213946241,0.0683599584529181,0.00248100441299206,-0.735545736011938,0.0941000190623927,5.42530581545057e-15,-0.114107518641235,0.0823617060779676,0.165916792515318,0.0347469019833428,0.0824957112050149,0.67361162506394,0.0364392530161632,0.0823858295154492,0.658272125492544,0.731836160450225,0.131678019386392,2.73242936822246e-08,0.0676684758395247,0.105003835281365,0.519291361918839,0.154707235656237,0.364617043301767,"G",0.75,0.221849
"Willow Warbler",2103,0.0757666151541612,0.0478739956690609,0.113506805822287,0.0619154999159423,0.0478439965735909,0.195626666255585,-0.0935730309236307,0.062613745712021,0.135058380642318,0.0471763296366987,0.054460540146752,0.386354219515885,0.17801061537368,0.0543585423848523,0.00105755664753617,0.18514074389793,0.0543977764956407,0.00066537763305166,-0.420377328542259,0.0753363065977636,2.4050504406129e-08,0.315329186410747,0.0797807988034374,7.73568461894526e-05,0.222348206845736,0.389723533211675,"G",0.69,-0.04997
"Wren",2878,-0.0645441584036786,0.0420716598131117,0.124993213934641,-0.0614925290837623,0.0420363609493427,0.143510781933529,-0.225709881165071,0.0577178605623341,9.20775973037479e-05,0.0100154843679787,0.0514184812613013,0.845562247772304,0.00336534686461719,0.0553962677670787,0.951557971685183,-0.00413271099262008,0.0554027681208824,0.940537792545075,0.000941904902454026,0.0752336636397075,0.990010964366654,0.0566697246522291,0.0720823708713013,0.431761990008222,0.104184029413479,0.186749097161609,"G",0.34,0.137746
